CharacterID	Text	Context	Day	LineID	LineStatus	VoiceStatus	ExtraData
None	Kick {character} out?		0	q_kick_character_out	Final	None	
							
							
							
							
							
//	Common conversations						
CONVERSATION	AddToScavengeParty						
CHOICE							
	Send {character} to scavenge			send_to_scavenge			
CHOICE							
	Go back			go_back			
END							
							
CONVERSATION	RemoveFromScavengeParty						
CHOICE							
	Don't send {character} to scavenge			dont_send_to_scavenge			
CHOICE							
	Go back			go_back			
END							
							
//	Character will ask for shotgun before this						
CONVERSATION	ConfirmScavenge						
//	Workaround for when we don't have the gun						
IF	!Shotgun						
GOTO	SendWithoutShotgun						
ENDIF							
CHOICE	SendWithShotgun						
	Send {character} with shotgun			send_with_shotgun			
CHOICE	SendWithoutShotgun						
	Send {character} without shotgun			send_without_shotgun			
END							
							
//	Workarounds to call callbacks using Gotos						
CONVERSATION	SendWithShotgun						
END							
CONVERSATION	SendWithoutShotgun						
END							
							
CONVERSATION	ConfirmNoScavengers						
CHOICE							
	Send no scavengers			confirm_no_scavengers			
CHOICE							
	Go back			go_back			
END							
							
CONVERSATION	MakeOCDecision						
CHOICE							
				make_decision			
CHOICE							
				go_back			
END							
							
							
CONVERSATION	KickCharacterOut						
				q_kick_character_out			
CHOICE							
				yes			
CHOICE							
				no			
END							
							
CONVERSATION	DoorDecision						
CHOICE							
				open_door			
CHOICE							
				keep_door_closed			
CHOICE							
				go_back			
END							
							
CONVERSATION	DoorQuestions						
CHOICE							
				who_are_you			
CHOICE							
				what_do_you_want			
CHOICE							
				why_should_i_let_you_in			
CHOICE							
				how_can_you_be_helpful			
CHOICE							
				go_back			
END							
							
CONVERSATION	DoorOptions						
CHOICE							
				stay_silent			
CHOICE							
				look_through_peephole			
CHOICE							
				ask_questions			
CHOICE							
				make_decision			
END							
							
CONVERSATION	Advance						
END							
							
							
							
							
//	Tutorial/day 0						
CONVERSATION	WakeUp		0				
Tutorial_Mom	Wake up sunshine...  you fell asleep while playing games.	First line of tutorial	0	tutmom_0_wake_up	Draft	None	
Tutorial_Mom	Me and your Dad are going to get some ice cream.		0	tutmom_0_going_ice_cream	Draft	None	
Tutorial_Dad	What flavour of ice cream do you want?	First question	0	tutdad_0_q_ice_cream	Draft	None	
CHOICE	ParentsLookForKeys						
Player	Vanilla	Player choices	0	player_0_vanilla	Draft	None	
CHOICE	ParentsLookForKeys						
Player	Chocolate	Player choices	0	player_0_chocolate	Draft	None	
CHOICE	ParentsLookForKeys						
Player	Strawberry	Player choices	0	player_0_strawberry	Draft	None	
END							
							
CONVERSATION	ParentsLookForKeys		0				
Tutorial_Dad	"Okay, we won't take long."	Response to player choice	0	tutdad_0_question_response	Draft	None	
Tutorial_Dad	(To Mom) Have you seen where the car keys are?		0	tutdad_0_where_are_keys	Draft	None	
END							
							
CONVERSATION	TutDad_LookForKeys		0				
Tutorial_Dad	I don't know where we left them...	If you try to talk to them before finding keys	0	tutdad_0_looking_for_keys	Draft	None	
END							
CONVERSATION	TutMom_LookForKeys		0				
Tutorial_Mom	I could've swore they were around here somewhere!	If you try to talk to them before finding keys	0	tutmom_0_looking_for_keys	Draft	None	
END							
							
CONVERSATION	TellParentsToGoScavenge		0				
Tutorial_Dad	Thank you kiddo...	Being sent out to scavenge	0	tutdad_0_scavenge_response	Draft	None	
END							
							
CONVERSATION	ToldParentsNotToScavenge		0				
Tutorial_Dad	Don't you want us to go get ice cream?	Player took them out of scavenge party	0	tutdad_0_unscavenge_response	Draft	None	
END							
							
CONVERSATION	ParentsLeaving		0				
Tutorial_Dad	See you soon kiddo!	Bye bye	0	tutdad_0_sent	Draft	None	
GOTO	SendWithoutShotgun						
END							
CONVERSATION	ParentsAtDoor		0				
Tutorial_Mom	We're back!	At door	0	tutmom_0_at_door	Draft	None	
Tutorial_Mom	"Hey kiddo, can you open the door please? It's raining out here... "	At door	0	tutmom_0_q_open_door	Draft	None	
CHOICE	TutorialEnd						
				open_door			
CHOICE	TriedToLockParentsOut						
				keep_door_closed			
END							
							
CONVERSATION	TriedToLockParentsOut		0				
Tutorial_Mom	"Hehe, nice one... Really though, it is quite cold."	Player keeps door closed	0	tutmom_0_q_open_door_second	Draft	None	
CHOICE	TutorialEnd						
				open_door			
CHOICE	JokeEnding						
				keep_door_closed			
END							
							
							
CONVERSATION	JokeEnding		0				
Tutorial_Mom	Kiddo?	Player keeps door closed again	0	tutmom_0_door_closed_twice	Draft	None	
END							
							
CONVERSATION	TutorialEnd		0				
Tutorial_Dad	"Thanks kiddo, now let's eat some ice cream!"	Player lets them in	0	tutdad_0_lets_eat	Draft	None	
GOTO	Advance						
END							
							
//	Day 1						
CONVERSATION	Wake_up		1				
Player	Uuuuugh. If the sound continues I will have to hide again under the bed	player just woke up	1	p1_wakeup	Placeholder		
Player 	"Another dream huh, what can I do for today"	Player just woke up	1	p1_choosing	Placeholder		
END			1				
							
CONVERSATION	Check radio day 1						
Radio	"The war continues on Brasnia Republic, it has been one week since the war started, United States send more weapons to revolutionaries, multiple industries are leaving the country, afraid of being involved with any side of the war. So far the only hope for some is leaving for Canada as they are the only ones accepting refugees."	Player checks radio in day 1	1	r1	Placeholder		
END			1				
							
CONVERSATION	Check outside day 1		1				
Player	"I only see snow and ash outside, I hope the heater doesnt give up on me, that would be my downfall"	Player goes outside to check situation	1	p1_outside	Placeholder		
END			1				
							
CONVERSATION	Check TV day 1		1				
TV	"LOOK FOR SHELTER, DONT LEAVE YOUR HOUSES. IF OUTSIDE SEEK THE NEAREST OUTPOST FOR HELP OR VOLUNTEERING."	Player checks television in day 1	1	tv1	Placeholder		
END			1				
							
CONVERSATION	Check supplies day 1		1				
Player	"I think I have enough food for the next days if, I hope the war doesn't reach this are of the city"	Player checks food supplies	1	p1_supply	Placeholder		
END			1				
							
							
CONVERSATION	Jessica arrive at the door		1				
Jessica	Hello? Is there anyone there? Its cold here outside		1	j_1_door	Placeholder		
Jessica	"Hey! Im pleading to be let in, I can survive out here in a wheel chair"		1	j_1_door_ignored	Placeholder		
END			1				
							
CONVERSATION	Day 1 peephole						
Player 	"I can't see anything beyond a shape, it looks like I can see small, and a wheel, maybe two"		1	p_1_door_head	Placeholder		
END							
							
							
CONVERSATION	Making decision		1				
CHOICE	Player lets Jesssica out lie						
Player 	"Sorry I cant let you in, I don't have enough resources ( lie)"		1	p_1_door_out_lie	Placeholder		
CHOICE	Player letting jessica out						
Player 	"Sorry I cant let you in, I don't trust you"		1	p_1_door_out	Placeholder		
CHOICE	Player lets Jessica in						
Player 	"Okay, take three step back, I'm going to open the door"		1	p_1_open_door	Placeholder		
END							
							
CONVERSATION	Who Jessica		1				
Jessica	"My name is Jessica, I'm just looking for shelter, I can't stay out here for long, I cant go very further because of my wheelchair"	Who are you	1	j_1_who	Placeholder		
END							
							
CONVERSATION	Why Jessica		1				
Jessica	"I'm in a wheelchair, I will die if you don't let me in! I cannot survive in this cold, I can't even walk!"	Why should I let you in	1	j_1_why	Placeholder		
END							
							
CONVERSATION	How Jessica		1				
Jessica	I cannot offer much help because of my wheelchair but I can try my best to find how to help in any way.	How are you helpful	1	j_1_how	Placeholder		
END							
							
CONVERSATION	Where Jessica		1				
Jessica	"I've from a city nearby. I used to live in a big house before but after the war started I had to escape the city, I took the refugee train to leave the city before it was shut down due to the destruction of the lines."	Where you came from	1	j_1_where	Placeholder		
END							
							
CONVERSATION	Player lets Jesssica out lie		1				
Jessica	Is there anything more I can say to change your mind?! I can do whatever I can		1	j_1_door_pleading	Placeholder		
Jessica	Please!		1	j_1_please	Placeholder		
END							
							
CONVERSATION	Player letting jessica out		1				
Jessica	Please!		1	j_1_please	Placeholder		
Jessica	Hello?! Are you still there? Hello?		1	j_1_asking	Placeholder		
END							
							
CONVERSATION	Player lets Jessica in		1				
Jessica	Thank you so much		1	j_1_in	Placeholder		
Player	"Okay you can get in, you should warm up a bit."		1	p_1_j_in	Placeholder		
Jessica	You're probably right		1	j_1_warm	Placeholder		
GOTO	Player talking to Jessica						
END							
CONVERSATION	Player talking to Jessica		1				
Player	*sits near her* So for how long have you been out there?		1	p_1_j_talk	Placeholder		
Jessica	"For around a day, I was able to take the last train that was going for the airport nearby, but after the airport was attacked, we were left helpless in the station."		1	j_1_story	Placeholder		
Jessica	"Some of the soldiers apprehended some of the people of the station but I was able to flee so I've romamed a for some hours until I found the cabin, I was probably going to die if it wasnt for you"		1	j_1_background	Placeholder		
Player	"Those are some horrible news, were they the govermnet soldiers or the revolunaries?"		1	p_1_news	Placeholder		
Jessica	"It was the government, they were afraid of some of the words getting out, some people are fleeing the country through airports."		1	j_1_airport	Placeholder		
Player	Weren't the airports closed?		1	p_1_airport	Placeholder		
Jessica	"They were, but the some of the revolutionaries were trying to hijack the airport to let civilians flee the country"		1	j_1_flee	Placeholder		
GOTO	Player talking to Jessica about politics						
END							
CONVERSATION	Player talking to Jessica about politics		1				
Player	Can you tell me a bit about your past?		1	p_1_j_past	Placeholder		
Player	Which of the two sides do you trust more ?		1	p_1_j_politics	Placeholder		
Jessica	I feel Im not too confortable talking about that		1	j_1_unconfortable	Placeholder		
Player	"I feel like it is better for us to get some rest, you can use the first bedroom in the hallway."		1	p_1_rest1	Placeholder		
Jessica	"Ok, thank you very much, see you tomorrow."		1	j_1_rest	Placeholder		
Player	"I feel like it is better for us to get some rest, you can use the first bedroom in the hallway."		1	p_1_rest2	Placeholder		
END			2				
//	Day 2						
CONVERSATION	Check radio day 2						
Radio	"25 dead after revolutionaries attempted to send hijack airplanes for refugees to flee the country, the only resources coming to the country are through air drops and direct sent to the military outposts."	Player checks radio in day 2	2	r2	Placeholder		
END			2				
							
CONVERSATION	Check outside day 2		2				
Player	Still only white and gray from ash and snow	Player goes outside to check situation	2	p2_outside	Placeholder		
END			2				
							
CONVERSATION	Check TV day 2		2				
TV	"LOOK FOR SHELTER, DON'T LEAVE YOUR HOUSES. IF OUTSIDE SEEK THE NEAREST OUTPOST FOR HELP OR VOLUNTEERING. THOSE ARE RUNNING LOW ON SUPPLIES OR HAVE INJURIES SHOULD IMMEDIATELY SEEK A MILITARY OUTPOST."	Player checks television in day 1	2	tv2	Placeholder		
END			2				
							
CONVERSATION	Check supplies day 2		2				
Player	I have to see how long the food will last now that Jessica is around.	Player checks food supplies	2	p2_supply	Placeholder		
END			2				
							
CONVERSATION	Jessica wakes up		2				
Jessica	Good morning		2	j_1_morning	Placeholder		
Player	Good morning. Are you feeling better?		2	p_1_moring_question	Placeholder		
Player	Good morning		2	p_1_moring	Placeholder		
END			2				
							
CONVERSATION	Jessica conversation		2				
Player	I don't know for how long the supplies will last. For it to work out we probably will need one of us to go out there to search for supplies		2	p_2_jconvo	Placeholder		
Jessica	Are you sure about that? Isn't it better for us to wait until we absolutely need to?		2	j_2_jconvo	Placeholder		
Jessica	I feel like that would be stealing and some other people out there might need it more than us		2	j_2_jconvo2	Placeholder		
END							
							
							
							
CONVERSATION	NOT Sending Jessica to scavange		2				
Player	"You're probably right, we can wait a bit further until we have to resort to scavenge."	Player decides to not send Jessica	2	p_2_scavenge_opt1	Placeholder		
END							
							
							
							
							
CONVERSATION	Sending Jessica to scavange		2				
Player	"Its either us or they, we don't know if there are many survives nearby as well, in the end it might just be pillaged by raiders or by soldiers themselves. I think it would be a good idea for you you to scavenge today (send her to scavenge)"	Player convincing Jessica to scavenge	2	p_2_scavenge_opt2	Placeholder		
Jessica	"I'm against it, I'm almost the supplies will last for a long while, I can't steal knowing some people out there might need it more than us."	Jessica being against scavenging	2	j_2_scavenge	Placeholder		
Player	"You're the one who is currently living with me, if you want to survive you will need to collaborate"	Player convincing Jessica to scavenge	2	p_2_force_jscavange	Placeholder		
Jessica	Im only going because you're the one who saved me		2	j_2_force_scavenge	Placeholder		
END							
							
							
							
							
							
							
CONVERSATION	Jessica after scavenging 		2				
Player	"It already past 2 hours the time we scheduled for her to come back, she probably died"		2	j_2_jessica_died	Placeholder		
END							
							
CONVERSATION	knock on the door 		2				
IF	Jessica						
Jessica	"You should check it out, what if its someone who needs help?"		2	j_2_door	Placeholder		
Jessica	"Please check the door, I'm sure its someone out there in that wasteland! Are you going to let they die?! You're going to murder them!"		2	j_2_pleading_door	Placeholder		
Jessica	I can't believe you're actually doing this. You're really going to let them die!		2	j_2_pleading_door2	Placeholder		
ENDIF							
Bob	"Hello? I can see you have your lights on, hey please man can you let me in? It's freezing out here."		2	b_2_door	Placeholder		
END							
							
							
CONVERSATION	Day 2 peephole						
Player	"I can only see what it seems to be someone wearing a cap, the look tall and he looks like a normal man"		2	p_2_door_head	Placeholder		
END							
							
							
							
							
							
CONVERSATION	Bob who		2				
Bob	"Name's Bob, I just to find shelter, the nearest city is under siege, its a total chaos, building crumbling, shells and rumble on the street. You please have to let me in!"		2	b_2_name	Placeholder		
END							
							
CONVERSATION	Bob why		2				
Bob	"I can help you search for survive, I know how to scavenge and survive on my own out there for a while but I am at my limit right now! I need water and a warmed place to rest, I don't want to die in this hell hole!"		2	b_2_why_in	Placeholder		
END							
							
CONVERSATION	Bob where		2				
Bob	"I used to live a town nearby, I moved to the city recently but after the war I was forced to flee. I've been here before, I know these woods like the palm of my hand, you should let me in! I'm useful!"		2	b_2_where	Placeholder		
END							
							
CONVERSATION	Bob decision		2				
CHOICE	Not letting bob in						
Player	"Sorry I can't let you in, I don't have enough resources (lie)"		2	p_2_dont_b	Placeholder		
CHOICE	Letting bob in						
Player	"Okay, take three step back, I'm going to open the door."		2	p_2_open_door	Placeholder		
END							
							
CONVERSATION	Not letting bob in		2				
IF	Jessica						
Jessica	"What are you talking about! You're lying, we're talking about a human being on the other side of the door! He already proved himself to be even useful for God's sake, let him in!"		2	j_2_door_sad	Placeholder		
ENDIF							
Bob	"I can help! I can be useful and find more food to help us survive, please! I don't want to be here!"		2	b_door_rejection			
Player	"Sorry I can't let you in, I don't trust you"		2	p_door_rejection			
IF	Jessica						
GOTO	Bob does not get in						
ENDIF							
END							
							
							
							
CONVERSATION	Letting bob in		2				
Bob	"Okay, thanks!"		2	b_2_open_door	Placeholder		
GOTO	Bob gets in						
END							
							
							
							
CONVERSATION	Bob gets in		2				
CHOICE							
Player	"Im going to bed, your room is the second one in the hallway."		2	p_2_room	Placeholder		
CHOICE	talking to bob						
Player	So how long have you been outside?		2	p_2_b_talk	Placeholder		
END							
							
CONVERSATION	talking to bob		2				
Bob	"It's been some days,  I think maybe 3 days, I've been surviving through scavenging some resources on my way here."		2	b_2_time	Placeholder		
Player	Do you know how to situation is out there?		2	p_2_situation	Placeholder		
Bob	"Because of the blizzard its hard to see much, I'm glad I left with my hiking equipment and clothes, If not I could've died out there."		2	b_2_situation	Placeholder		
IF	Jessica						
Jessica	That's horrible		2	j_2_horrible	Placeholder		
ENDIF							
Bob	"They don't stop,even in these horrible conditions the war still rages on"		2	b_2_war	Placeholder		
IF	Jessica						
Jessica	I hope it ends soon so I can see my friends again		2	j_2_friends	Placeholder		
ENDIF							
Bob	I'm going to get some rest now		2	b_2_rest	Placeholder		
Player	"I'm going to bed, your room is the second one in the hallway."		2	p_2_sleep	Placeholder		
END							
							
CONVERSATION	Bob does not get in		2				
Jessica	"I can't believe I'm a murderer, I hope he finds somewhere else to live"		2	j_2_bob_out	Placeholder		
Player	"We can't afford to let him in, we don't have enough food and water to keep one more person around"		2	p_2_bob_food	Placeholder		
Jessica	Be he said he was good with scavenging!		2	j_2_bob_scavenge	Placeholder		
Player	But what if he was lying just to get in?		2	p_2_bob_lying	Placeholder		
Jessica	You might be right		2	j_2_bob_convinced	Placeholder		
Jessica	"I need some rest, my head is not in the best place right now"		2	j_2_rest	Placeholder		
Player	"We can't trust everyone who knocks. What if he was a Raider? He could've very well lied about everything. This is war, we have to be cautious about everything"		2	p_2_b_untrust	Placeholder		
Jessica	You might be right		2	j_2_bob_outright	Placeholder		
Jessica	"I need some rest, my head is not in the best place right now"		2	j_2_headache	Placeholder		
END							
							
//	DAY 3						
CONVERSATION	Check radio day 3		3				
Radio	"Drone footage has shown that camps in which POW revolutionaries and being executed without, going against the Geneva convention"	Player checks radio in day 3	3	r3	Placeholder		
END							
							
CONVERSATION	Check outside day 3		3				
Player	"A bit less cold then yesterday bit still inhumane to stay out here for longer periods of time, I wonder how the soldiers even fight in these conditions"	Player goes outside to check situation	3	p3_outside	Placeholder		
GOTO	Journalist intro						
END							
							
							
							
							
							
CONVERSATION	Check TV day 3		3				
TV	"LOOK FOR SHELTER, DON'T LEAVE YOUR HOUSES. IF OUTSIDE SEEK THE NEAREST OUTPOST FOR HELP OR VOLUNTEERING. ALL CITIZENS OVER 30 ARE REQUIRED TO GO TO AN OUTPOST TO BE DRAFTED INTO THE WAR."	Player checks television in day 3	3	tv3	Placeholder		
END							
							
CONVERSATION	Check supplies day 3		3				
Player	With two people scavenging is going to become a necessity	Player checks food supplies	3	p3_supply	Placeholder		
END							
							
CONVERSATION	Bob comments on TV		3				
Bob	That's horrible isn't it? We're now criminals	Bob commenting on TV	3	b_3_criminal	Placeholder		
Player	We have to get out of this place when the first opportunity appears		3	p_3_criminal	Placeholder		
Bob	It's just fucked up that we are forced to fight for something we don't even believe. And if we fight for what we believe the chance of us getting erased from history is big.	Bob talking about beliefs	3	b_3_believe	Placeholder		
Player	"Yeah, we have to be more careful when scavenging to no e caught by any soldiers."	Player talking about soldiers	3	p_3_careful	Placeholder		
END							
							
							
							
							
							
CONVERSATION	Jessica and Bob interaction about scavenging		3				
IF	Jessica						
Jessica	Good morning everyone!	Jessica saying good morning	3	j_3_good_morning	Placeholder		
Jessica	How was your night Bob? Are you feeling better?		3	j_3_bob_sleep	Placeholder		
Bob	Better then sleeping outside.		3	b_3_sleep	Placeholder		
Jessica	That's good to hear!		3	j_3_hear	Placeholder		
ENDIF							
Bob	"We have to scavenge if we want to survive, if you want to I can go. I know these woods well"		3	b_3_scavenge_comment	Placeholder		
IF	Jessica && Bob						
Jessica	But don't we have enough food?	Jessica bitching	3	j_3_food	Placeholder		
Bob	"Enough for what? To live? or until we die in the war? There's no such ""enough"" food, we have to alaways keep restocking and if a opportunity appears for us to leave this hellhole we need to have enough food until then"	Bob abslolutely owning Jessica	3	b_3_owning	Placeholder		
Jessica	I-i....	Jessica speechless 	3	j_3_speechless	Placeholder		
Bob	"You're the owner of the house, do you want me to go or Jessica?"		3	b_3_choice	Placeholder		
ENDIF							
END							
CONVERSATION	Try to send Jessica scavenge day 3		3				
Player	I think Jessica should go		3	p_3_J_scavenge	Placeholder		
IF	Bob						
Bob	I don't think you're making the right decision. She won't be of much utility out there		3	b_3_disagree	Placeholder		
ENDIF							
Jessica	I'm scared to go		3	j_3_scared	Placeholder		
GOTO	AddToScavengeParty						
END							
							
CONVERSATION	Send Jessica		3				
IF	Bob						
Bob	Whatever you say.		3	b_3_whatever	Placeholder		
ENDIF							
Jessica	....		3	j_3_silence	Placeholder		
GOTO	ConfirmScavenge						
END							
							
							
							
CONVERSATION	Try to send bob to scavenge day 3						
Player	I think Bob should go		3	p_3_b_scavenge			
Bob	"Okay, do you have anything I can bring to defend myself if something happens?"		3	b_3_bring	Placeholder		
GOTO	ConfirmScavenge						
END							
							
							
CONVERSATION	Journalist intro		3				
Journalist	"Heeeeey! I come in peace, I'm just a journalist, I want to ask some questions"		3	journalist_3_hey			
Player 	"Sure, why not"		3	p_3_j_sure	Placeholder		
Journalist	"Nice, its been a bit hard finding people out here willing to talk, a lot of them area a bit rude"		3	journalist_3_rude	Placeholder		
CHOICE	Journalist resources		3				
Player	Can you jump to the important part		3	p_3_journalist_skip	Placeholder		
CHOICE	Journalist talk 2						
Player	"uhum, uhum"		3	p_3_goon	Placeholder		
END							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
CONVERSATION	Journalist talk 2		3				
Journalist	"I'm was thinking of going to the city a bit up north, the place is in complete chaos right now, I've heard that they stopped using rubber bullets against people. It sound's like movie."		3	journalist_3_chaos	Placeholder		
CHOICE	Journalist resources		3				
Player	Can you jump to the important part		3	p_3_journalist_skip	Placeholder		
CHOICE	Journalist talk 3		3				
Player	"uhum, uhum"		3	p_3_goon	Placeholder		
END							
							
CONVERSATION	Journalist talk 3		3				
Journalist	"But I heard some pretty fucked up stuff, both side are torturing some people for information. "		3	journalist_3_fucked	Placeholder		
Journalist	"They are also paying some journalists to show a different image of the war, showing how the state is winning and the revolutionaries are doing some pretty fucked up stuff, I don't know if its true but I want to show the world the truth."		3	journalist_3_money	Placeholder		
GOTO	Journalist resources						
END							
							
							
							
							
							
							
							
							
							
							
							
CONVERSATION	Journalist resources		3				
Journalist	"Ok, Now for some questions, are you suffering with lack of anything? Food, water, too cold etc...?"		3	journalist_3_resources	Placeholder		
CHOICE	Journalist politics						
Player	"Food and water are a bit hard to come by, but we are trying our best."		3	p_3_resource	Placeholder		
CHOICE	Journalist politics						
Player	"It is very cold, I fear that the if we run out of heating we will freeze to death"		3	p_3_heating	Placeholder		
CHOICE	Journalist politics						
Player	We don't have much to defend ourselves.		3	p_3_security	Placeholder		
CHOICE	Journalist politics						
Player	Everything so far is under control		3	p_3_everything_good	Placeholder		
END							
							
CONVERSATION	Journalist politics		3				
Journalist	Interesting...		3	journalist_3_interesting	Placeholder		
Journalist	"If you don't mind, which side do you sympathize the most?"		3	journalist_3_sympahize	Placeholder		
CHOICE	Journalist end						
Player	"Revolutionaries, they are just trying to fight for a better country and get rid of all the corruption."		3	p_3_revolutionaries	Placeholder		
CHOICE	Journalist end						
Player	"The government, they've kept this country going for years, stuff did get a bit better when they entered the political scene."		3	p_3_government	Placeholder		
CHOICE	Journalist end						
Player	"None, I just want to get out of this place"		3	p_3_none	Placeholder		
END							
							
CONVERSATION	Journalist end		3				
Journalist	"Right, ok, I think thats all, thanks for conversation, the information you gave me will be all anonymous, so your name won't appear anywhere, if you want to learn more about it you can read the Brasnian people morning news."		3	journalist_3_done	Placeholder		
Player	"Ok, thanks, have a safe trip"		3	p_3_safe_trip	Placeholder		
Journalist	"You too, be safe"		3	journalist_3_safe	Placeholder		
END							
							
CONVERSATION	Knock on door		3				
Bob	"Oh wow that's a strong bang, I don't think that would be great news"		3	b_3_knock	Placeholder		
IF	Bob						
Jessica	It just might be someone strong or tired		3	j_3_knock	Placeholder		
ELSE							
Jessica	Oh there's someone at the door!		3	j_3_door	Placeholder		
ENDIF							
CHOICE	Ignore door day 3						
Player	(ignore the door)		3	p_3_ignore	Placeholder		
CHOICE	day 3 peephole						
Player	Let me take a look		3	p_3_look	Placeholder		
END							
							
CONVERSATION	Ignore door day 3		3				
IF	Jessica						
Jessica	I think you check the door! What if it is someone in dire need?		3	j_3_check_door	Placeholder		
ENDIF							
IF	Bob						
Bob	Even if it is someone what are we going to do? We don't have enough rooms nor food.		3	b_3_check_door	Placeholder		
ENDIF							
CHOICE	day 3 peephole						
Player	Maybe I should check it out		3	p_3_check	Placeholder		
CHOICE	day 3 door comments						
Player	Nah		3	p_3_no	Placeholder		
END							
							
CONVERSATION	day 3 peephole		3				
Player	"Its something, not someone, it looks like a big mass of muscle."		3	p_3_peephole			
END							
							
CONVERSATION	day 3 door comments						
IF	Jessica						
Jessica	Just at least look through the peephole! We can always find a way to help them!		3	j_3_peephole	Placeholder		
ENDIF							
IF	Bob						
Bob	I think you're makign the right choice		3	b_3_right_choice	Placeholder		
ENDIF							
END							
							
CONVERSATION	Door day 3 who		3				
Bear	*door scratch sounds*		3	bear_3_scracth	Placeholder		
END							
							
CONVERSATION	Door day 3 why		3				
Bear	*Heavy breathing sound*		3	bear_3_breathing	Placeholder		
END							
							
CONVERSATION	Door day 3 where		3				
Bear	*no answer*		3	bear_3_no	Placeholder		
END							
							
CONVERSATION	Door day 3 how		3				
Bear	*door scratch sounds*		3	bear_3_scracth	Placeholder		
END							
							
CONVERSATION	Making decision day 3		3				
CHOICE	Letting animal out						
Player	"Sorry I can't let you in, I don't have enough resources (lie)"		3	p_3_out	Placeholder		
CHOICE	Letting animal in						
Player	"Okay, take three step back, I'm going to open the door."		3	p_3_in	Placeholder		
END							
							
CONVERSATION	Letting animal out		3				
IF	Jessica && Bob						
Jessica	What if its just a hurt animal?		3	j_3_animal	Placeholder		
Bob	What the fuck are you talking about? How can an animal be helpful to keeping us alive?		3	b_3_useful	Placeholder		
ELIF	Jessica						
Jessica	What if its just a hurt animal?		3	j_3_animal	Placeholder		
ELIF	Bob						
Bob	"I think you did the right choice, its probably not even human"		3	b_3_not_human	Placeholder		
ENDIF							
END							
							
CONVERSATION	Letting animal in		3				
IF	Bob						
Bob	What the fuck are you doing? That thing is not human!		3	b_3_in	Placeholder		
Bear	*roar*		3	bear_3_roar	Placeholder		
Bob	Get back!		3	b_3_back	Placeholder		
GOTO	Bob dead						
ENDIF							
IF	Jessica						
Jessica	GET THE GUN		3	j_3_gun	Placeholder		
ENDIF							
GOTO	Bear ending						
END							
CONVERSATION	Bob dead		3				
Player	Oh my god		3	p_3_god	Placeholder		
IF	Jessica						
Jessica	"I'm going to sleep, goodnight everyone"		3	j_3_night	Placeholder		
Player	Are you alright		3	p_3_alright	Placeholder		
Jessica	"Yeah, good night to you too bob"		3	j_3_shocked	Placeholder		
Player	I think she's still in state of shock		3	p_3_shocked	Placeholder		
ENDIF							
END							
CONVERSATION	Bear ending		3				
END							
							
//	Day 4						
							
